class,text
1,@jokowi Presiden RI mhon dibantu nasib rakyatmu tanahnya dipakai Kepolisian RI sdh 64 th unt asrama brimob ciputat. Mohon bantu Bpk Presiden
0,"@Darwisyj_ 
Dalam diam dah jadi presiden badminton. Apa rahsia kejayaan mohon share tips."
1,@jokowi @twitter siip pak .... Lanjutkan... Tolong pak ... Perjuangkan nasib honorer k2 yang tidak lulus.... Gmn kelanjutannya....
1,"PLN TOLONG SIH KASIH PENJELASAN KENAPA LISTRIK MATI TRUS? SEHARI BISA 4X, ELEKTRONIK KAMI BS RUSAK BEGINI TRUS #PLNLAMPUNG#@JOKOWI"
0,Assalamualaikum wr wb Bapak Presiden Yth @jokowi kabarnya Dr. Zakir Naik akan datang ke Indonesia. Tolong disiarkan di Tv Nasional ya Pak.
1,@TelkomCare pak @jokowi  n pak @Pak_JK  masyarakat Internet  sbnrnya sangat menyayangkan mahalnya tarif ini. mohon dengarkan suara kami.
0,"@jokowi @imam_nahrawi  pak tolong kuatkan prinsip bapak untuk benahi spk bola indonesia,krn mrka akan meremehkan bpk klo mrka ttep ddlm PSSI"
1,"@jokowi pak Jokowi, tolong bantu penuh rio haryanto agar nama Indonesia bs dibawa saat F1. #DukungRio"
0,@ganjarpranowo Assallualaikum pak   Ganjar.... mohon responnya..  kenapa masih ada jabatan pemerintah masih ada yang dibatasi oleh umur....
0,@jokowi Pak tolong Intruksikan kpd seluruh Rakyat Indonesia Untuk berolahraga..
1,Pak @jokowi tolong polisi diperintahin agar tdk tunduk pada tuntutan2 anti-kebebasan. Mosok festival yg isinya diskusi & pameran gak boleh.
0,Tolong tanyain res. @Restyies @DivHumasPolri @Jhonkosmik @jokowi @pramonoanung
0,"http://sport.detik.com/read/2016/02/27/192205/3152675/80/bisa-promosikan-indonesia-di-dunia-rio-harus-dibantu …
Mohon mjd prhtian khusus pak @jokowi  ini sbg hrg diri NKRI."
0,"@Jokowi_dodo_new @Pak_Jokowi_do2 @Pak_JK PAK PRESIDEN, TOLONG TAMBAH & TINGKATKAN KESEJAHTERAAN PARA POLISI ,TUGASNYA BERAT, SALAM SEJAHTERA"
1,"@jokowi 
Pak presiden jalan di daerah kami tolong perbaiki soalnya pak bupati tak memperhatikan jalan yg rusak di daerah kami , kab cianjur"
1,Tolong ditindak aksi sara ini Cc @kpu_dki @jokowi @KPU_RI @Yusuf_Mansur @aagym @MardaniAliSera @hnurwahid https://twitter.com/TofaLemon/status/783671628542582786 …
1,cc bpk @jokowi @KemenDesa @kempanrb @asmanabnur2016 mohon dibantu http://www.kaskus.co.id/thread/57f358e21a997585568b4567/aneh-bikin-jembatan-terpencil-indonesia-malah-didenda-195-juta/ …
0,@maspiyungan @KPK_RI @jokowi @safuan45214591 mohon pencerhannya maksd bapak @Fahrihamzahhttps://twitter.com/Fahrihamzah/status/783688664085696512 …
0,"Saya mohon kpai, presiden, atau engkau ya tuhanku, panggil si awk ini dari dunia. Makin gajelas lama2."
0,"Halo Mendikbud, Inikah Buku Pelajaran Yang Layak Untuk Anak Kelas Lima SD ? @PartaiSocmed @jokowi Mohon di bantu
https://goo.gl/geRWzx pic.twitter.com/1QHiCL7Up5"
0,"Dari pukul 10pm sampai 3am baru balik bilik. Itu pun ada yang tak lengkap juga. Kalau aku tak tolong, tak tidurlah gamaknya presiden tu."
1,kami tolong dianggap @detikcom @jokowi @DiskominfoMks #savemakassar http://www.tribunnews.com/superskor/2016/09/14/imam-nahrawi-tetap-ingin-kongres-pssi-digelar-di-yogyakarta …
1,@hanifdhakiri Yth.Bapak Menteri... Mohon perhatian Bapak... Tks https://twitter.com/itjen_naker/status/782858598095347712 …
0,Dan nanti akan kita gunakan langsung sekolah. Saya mohon izin Presiden melibatkan sekolah pakai data pokok pe... http://bit.ly/2dS9UDW 
0,"Setuju dgn bang @fahrihamzah

Fahri Hamzah: 'Mohon maaf ya,  menterinya Jokowi saja gak PD' http://www.pos-metro.com/2015/10/fahri-hamzah-mohon-maaf-ya-menterinya.html …"
1,@jokowi @DITJEN_PAS @pakdekarwo1950 Mohon dijadikan atensi#Fredy Budiman jilid II#Save Indonesia From Drugs pic.twitter.com/6i36C9Yed1
0,"pak tolong untk anak sekolah dasar jngn ada pelajaran komputer pak,krn rasa ingin tau anak2 jauh lbh besar"
0,haha. jadi kau mohon apa? presiden ka? haha
1,"@jokowi @asmanabnur2016 Pakjokowi.pak asman bagaimana nasib honorer K2?Tolong diperjelas,minimal ada PP tentang K2 biar Gak mengambang terus"
1,Mohon dpt ditindak tegas juga ya pak masalah oknum aparat hukum d negeri ini pak @jokowi #saveJessica #JessicaBebashttps://twitter.com/jokowi/status/781500434116599808 …
0,"tolong lah cari rumusan atau blue print yg benar utk indonesia pak presiden,jangan tambal sulam terus ganti mentri ganti program...."
1,@jokowi mohon kesejahteraan petani karet di Sumatera & Kalimantan diperhatikan slama 5 tahun ini mereka hidup susah karna harga karet murah.
0,Pak @jokowi mohon laman di medsos juga menggunakan kaidah bahasa yg baik dan benar serta baku. sering saya perhatikan tidak ada S-P-O-K.
1,Please @jokowi save Jessica! Bukti sangat tdk kuat.. terlebih kalo memang Jessica terbukti bersalah mengapa tuntutan hny 20 thn? Tolong Pak https://twitter.com/JessicaWongso_/status/783684543798648833 …
0,"mohon BPK JKW, ada tindak lanjutnya"
1,Tolong ditemui ya Pak @jokowi sprti kmrn bpk ngundang buzzer2 bpk ke istana. MULIA KAN PETANI sprti yg dulu bpk blg http://www.jawapos.com/read/2017/08/24/152949/tuntut-keadilan-seribu-petani-tebu-cirebon-siap-kepung-istana#.WZ9lLnFB0-w.twitter …
1,@PTJASAMARGA @RadioElshinta @jokowi tiap hari GT Kalimalang2 JORR macet terhalang truk tdk ada petugas. Mohon ada tindaklanjut
1,Mohon cek Pak @wiranto1947 @Amran_Sulaiman1 @jokowi @CCICPolri @DivHumasPolri @PolhukamRI Agar tidak jd fitnah yg meresahkan.
1,Ini akun palsu berbahaya tolong di stop @jokowi @CCICPolri @kemkominfo @Puspen_TNI @DivHumasPolri @BNPTRI @PolhukamRI @Kemhan_RI @nu_onlinepic.twitter.com/dMZ5FXjLld
0,"Yg seharusnya menjadi generasi penerus harapan bangsa,  mohon pemerintah ada tindakan tegas,  untuk menyelamatkan nasib mereka,"
0,Ibuk Menteri Perikanan dan kelautan Susi Pudjiastuti Mohon tenggelamkan Mereka. http://fb.me/95VqqLk7K 
0,"@CecepSyam @AlKausar5 @jokowi Tolong jangan Berat sebelah. ALLAH SWT, MAHA DAHSYAT SIKSANYA. #DukungPerpuOrmas"
0,tolong balas tweet saya ya Pak Menteri Budi :) @BudiKaryaS @hubdat151
0,"Pak @CCICPolri mohon orang ini diperiksa, mosok seenaknya blg pak @jokowi bersaing dg napi penista agama..  https://twitter.com/sugi_0706/status/900786038087401472 …"
1,"@jokowi _pak,mohon bantuan mengenai status lahan km d tanjung lesung yg blm prnh ad penyelesaian namun sdh di garap untuk wisata dll"
1,"Pak @jokowi tolong cari solusi utk perempatan Tomang (khusus arah Tangerang -> Harmoni). 
Ga siang, ga malam, pasti antri minim 2km panjang"
0,@Am0k4 INI ADA APEL TOLONG SUMPIN KE MULUT DYA pic.twitter.com/3WN7DNOEWe
1,"Pak@jokowi sampai saat ini narkoba masib di salapian,kab langkat,mohon perhatian,sangat memprihatinkan"
1,"mohon pak @jokowi bisa mengawal ini  krn ini mempertaruhkan kewibawaan negara,moso negara tkt dan tdk berkutik sama ormas?? https://twitter.com/kompascom/status/900581448507244544 …"
0,"Benar pak, 
Tapi tolong diperbaiki jalan dikabupaten batubara. Bupatinya gak jelas pak (kajol).
Jalannya pada berlobang pak."
0,"Pak dijalan masih banyak anak2 yang tidak tau membaca dan menulis, tolong diterangin pak."
0,"M'sia sudah mohon maaf dan Presiden Jokowi minta isu ini tidak dibesar2kan, rakyat indonesia patut fokus kepada isu2 nasional & ekonomi"
0,Tolong Duit ini jangan sampe ketauan sama @jokowi dan @KemenkeuRI .  bisa2 duit Gereja ini diincer pulapic.twitter.com/71zEOHSHdv
1,@Kemdikbud_RI pak menteri tolong penerbitan NUPTK dipermudah melalui DAPODIK. dan prhatikan nasib GWB SD Negeri
0,Tolong pak presiden... jajaran anda di daerah kami pejabat bupatinya mungkin buta mata buta hati terhadap desanya... pic.twitter.com/4x91U2R1zH
0,"FYI Bapak Presiden @jokowi
Rumor sekarang apakah benar RRC telah invasi ke NKRI dengan legal. mohon jaga NASIONALIS NKRI"
0,"tolong pak,,,ingat jga sma orang NTT,,"
1,Ersa sekarang ia mnjaga mama yg sdang sakit ia jg anak yatim pnya ade 3 prempuan & msih kecil & skarang ia jg sick tolong mereka pak @jokowi
1,@jokowi tolong kami pak untuk didaerah parungpanjang banyak sekali pengangguran nya @update_pp
1,Mohon ditindaklanjuti http://baranewsaceh.co/laporan-keuangan-2015-agara-predikat-opini-wtp-perlu-dikritisi/ … cc @jokowi @KPK_RI @bpkri @BPKPgoid @MaTA_Aceh @sahabatICW @GerakAceh @KemenDesa
1,"Bu @susipudjiastuti tolong nonton video ini ya, ttg keterpurukan nelayan yg ibu kesampingkan. @jokowi @LuhutBinsar https://drive.google.com/file/d/0B5UqaZDtwZgYcXhMQmhmZEp1SzA/view …"
0,jadi tolong pak menteri jangan mau di provokasi sama DOMBA macam @sheepG0D ini.. Yg otak'y gk jauh beda sama BINATANG!!
0,"Pak presiden,klu memang benar fahri hamzah bilang bapak sinting,tolong gerakan penangkapan,klu bapak dihina,berarti sm dgn menghina negara."
0,"1.Bpk.Presiden sebaikny jangan campur pada masalah pilkada ,panjang ini berpotensi pak(mohon ijin kalo saya beri advice bapak secara direct)"
0,Tolong siarin match Inter dong Pak Presiden RT @erickthohir: ANTV continues to prove the consistency of growth. @ANTVKEREN
1,@jokowi Bpk presiden yang terhormat..mohon bantuannya untuk anak saya yang mengalami gangguan syaraf pendengaran berat sensorineural hearing
0,"@jokowi setiap gerak anda sangat mahal, mohon menerapkan target waktu penyelesaian pada tiap permasalahan "
0,"Inilah alasan kenapa pemerintah melarang membungkus daging kurban dengan kantong plastik hitam, tolong sebarkan !!! http://fb.me/2vp9ry7c7 "
0,mohon maaf y bu menteri mau nanyak soal BPJS itu ngurus kartunya bayar atau gimn kadang2klo ngurs2kyk gt2ada aja kendalanya uang
0,pak @jokowi tolong om bonnie jadiin wa gub .. apa perlu dibikinin kawan boni ? https://twitter.com/BonnieTriyana/status/778229738749820928 …
0,"Pa @jokowi,mohon bantu para atlet national kita berlomba dgn damai. #PonJabarKacau"
0,Atas nama Rakyat Indonesia tolong bantu 86 Calpeg Pelindo3 Pak Presiden @jokowi yang mencari keadilan di negara sendiri #SavePekerjaPelindo
0,"salam kpd bpk menteri, sy septi warga bandung merasa sakit hati dgn twit bpk yg tdk didukung fakta. mohon lebih bijak..nuhun"
1,@jokowi mirisnya nasib pasien bpjs pak.. kog begini sih ?! tolong ditinjau yg benar http://bit.ly/2dgseWy 
1,"@jokowi selamat malam bpk...maaf sblmnya, mohon perhatian dr bpk di samsat kota Bandung byk kejanggalan mengenai biaya proses utk motor baru"
0,timnas tidak butuh uang 12M pak jokowi tolong benahi semua kepengurusan pssi penjarakan para mafia2 di atasnya
1,"Ibu @KhofifahIP @KemensosRI , Raskin di Tapan, Pesisir Selatan Sumbar tdk layak konsumsi, mohon tindaklanjutnya
Cc @jokowi @irwanprayitnopic.twitter.com/QPfb54LVdC"
1,"Berharap pemerintah lbh responsif menanggapi isu2 liar. Isu warga Tiongkok yg jd pekerja ilegal, PKI. Mohon ditelusuri benar/slh nya."
0,mohon perhatikan bapak presiden...semoga Timnas kita bisa lebih berprestasi. Indonesia Hebat!
0,"Assala'mu alaikum, Wr,Wb. Selamat pagi, salam sehat n baik"" aja kan semua. Mohon maaf yg sebesar-besarnya tp akan ada lagi Was"
0,pak saya sarankan agar sekolah sepakbola indonesia harus di perbanyak agar muncul bibit anak muda nanti.... mohon di respon dgn baik
0,"Yg terhormat @jokowi pak tolong di lihat pak , menurut saya ini meresahkan :  https://instagram.com/p/BNzSnVshBnV/ "
0,"pak @jokowi tolong d selidiki kenapa ni orang selalu benar nebak hasil,bahkan sebelum kompetisi dia sdh tau siapa runer-up nya  https://twitter.com/MafiaWasit/status/795414437972688896 …"
0,Mohon dibantu Pak @jokowi @basuki_btp https://twitter.com/detikcom/status/810217836366860289 …
0,. Pak jokowi....mohon dong pak tahun depan jangan pake pelatih amatiran..masa kita udah menang 2-1 kok malah pakek strategi bertahan.
0,"pa jokowi tolong perhatikan pembangunan pembinaan sepak bola indonesia..mulai dari infrastruktur lapangan dari sabang ke marauke,"
0,Jadi maksud presiden ke iran untuk apa ya? Mohon konfirmasi pak @jokowi  supaya saya tidak berprasangka https://twitter.com/PangeranBiru212/status/809403625575305217 …
0,@ganjarpranowo @jokowi mohon tindak lanjutnya sama yang memlunyai akun ini pak.. NKRI HARGA MATI pic.twitter.com/m95YUgtp74
0,Mohon bantuannya pak @jokowi https://twitter.com/detikcom/status/810201395542396928 …
1,"@jokowi tolong di pantau kinerja KJRI jedah tentang kepengurusan TKIO,banyak keluhan dari mereka terutama yg sudah masuk tarhil trimakasih"
1,"@jokowi tolong d pantau pa buat petugas d kjri jedah,soalnya banyak yang ngeluh tentang kepengurusan WNIO trimakasih"
0,"tolong pertahankan tim yg sudah ada pak, tim ini jika dimatangkan lagi bisa tangguh untuk menghadapi sea game yg akan datang ."
0,@Pak_JK mohon dukungan pemerintah utk kemajuan sepakbola kita https://twitter.com/detikcom/status/810191599145652224 …
0,"Pak presiden....sy BENCI cara bermain TimNas sepak bola kita !
Tolong pak Buat TimNas kita baik,paliing tidak bisa merajai di Asia."
0,http://www.mediapribumi.com/2016/07/memalukan-dan-menyedihkan-indonesia.html?m=1 … @ustadz_iipw @ustad_alhabsyi @Yusuf_Mansur @syekhalijaber @subkiAlbughury_ mohon doanya untuk Bpk @jokowi @Pak_JK
0,@DivHumasPolri @_TNIAU @_TNIAL_ @TNIAD12 Mohon segera di tindak lanjut Penghinaan Bpk Presiden Jokowi Pemilik Akun FB SOFIAN EDI di Sintang pic.twitter.com/xSzbVrtRdQ
0,Mohon doa dan Suportnya @DewantoAndry untuk kecamatan Jatiroto Lumajang
0,"Pak @jokowi yg terhormat mohon dear kami, besok kami tidak kerja lagi
Ini semua perment LHK nya ibu @SitiNurbayaLHK
#SelamatkanPekerjaHTI"
0,Pak @jokowi tolong Di Ruqyah Fans Berat Bapak yang 1 Ini pic.twitter.com/4XFpgM5GUv
0,@jokowi Pak org ini sdh menghina Bpk. Sering ngomel2 diberanda FB nya nyinggung2 Bpk. Tolong org ini ditangkap Pak. Ditelusuri maksudnya apa pic.twitter.com/gnC02d2CkD
0,"@jokowi assalammualaikum.wr.wb.. Selamat pagi bapak.. Pak dengan segala hormat. Saya memohon kepada bapak, tolong bantu saya pak ?"
1,"Pak @jokowi Mohon diperkuat PENGAWASAN data Imigrasi dan PERTEGAS hukum Imigrasi, akibat BEBAS VISA, untuk wisatawan ASING."
0,"@jokowi Izin dari PT.RAPP, kami mohon pak, berikan kami mimpi untuk menjadi orang yang bermanfaat dalam masyarakat, negara dan keluarga kami"
0,kinerja panjang @SBYudhoyono tolong jgn asal claim PK @jokowi takutnya nanti kmpnye masib proyek mangkrak pic.twitter.com/B89Pkn3s45
0,"Yth Pak Presiden @jokowi,Mohon #BiarkanRakyatMemilih #SelamatkanKonsumenIndonesia #SelamatkanPekerjaIndonesia #BuatGarduTolTunaihttps://twitter.com/m_mirah/status/922097094378192897 …"
1,"Mohon Pak Presiden berkenan Kaji Renc.Investor.Tambang Halmahera, agar rakyat jgn menjadi jongos diatas bumi sendiri mungkin ada solusi lain"
0,"Demi SEHATNYA DEMOKRASI kita, maka mohon Bpk @jokowi membebaskan rekan2 kami. Ini soal aspirasi, bukan soal waktu.

http://nasional.republika.co.id/berita/nasional/jabodetabek-nasional/17/10/21/oy666k377-ini-kronologi-penangkapan-pendemo-jokowijk-versi-mahasiswa …"
1,"Yth Pak Presiden Jokowi, mohon petunjuk agar KPK berkenan Lidik Lelang Paket Unsrat Mdo Rp.12.238.800.000 Langgar Perpres & Indik.Tipikor"
0,Tolong gambar kan diri km sendiri.ok jokowi spt RT.kalau km coba zon.km sebagai apa?pahlawan kah? Pemikir kah? Pekerja kah?
0,"Dah diundang tp ditolak masuk..pulang aja Pak. Pakde @jokowi, mohon kirim nota protes. https://twitter.com/Puspen_TNI/status/922067122955599872 …"
0,Tolong Pantau @jokowi @KSPgoid @KemensetnegRI @setkabgoid @PolhukamRI @POLRI_ @CCICPolri @DivHumasPolrihttps://twitter.com/MakkJlebb/status/922109691827597312 …
0,"Jokowi: ""'Tolong saya didemo, pasti saya suruh masuk""; Masuk Mana? Masuk BUI http://fb.me/8V0dfV52R "
0,"@jokowi persyaratan Sdh kami turuti segalanya hmmm ga berani ngomong lebih saya pak,takut Di begal.Mohon pak dibantu agar IJIN SKP dan HACCP"
0,"@jokowi Pak Jokowi Presiden RI, Presiden Kami yg tercinta.Mohon pak bantu Kami pedagang Tripang Di Kota Medan.IJIN usaha kami yg kami urus"
0,Tolong pak @jokowi segeralah bermanuver. https://twitter.com/kemalarsjad/status/921776608016416768 …
0,indraephe Mohon maaf sebelumnya. Saat ini kami mengikuti ketentuan yang berlaku dari pemerintah untuk program keamanan penerbangan. - Mutia
0,IndonesiaGaruda: indraephe Mohon maaf sebelumnya. Saat ini kami mengikuti ketentuan yang berlaku dari pemerintah untuk program keamanan pen…
0,Mohon maaf sebelumnya. Saat ini kami mengikuti ketentuan yang berlaku dari pemerintah untuk program keamanan penerbangan. - Mutia
0,Mak suruh tidur awal esok pagi tolong kemas rumah . Takpelah mak tak tidur lah anak mak ni . Menunggu anak menteri
1,@susipudjiastuti mohon petunjuk bu menteri...apakah masalah 4 kapal yg ditangkap di kaltara..laporan pemusnahannya kepada ibu sdh sesuai? pic.twitter.com/FsAoZKIpMg
1,"#ILC_DPRversusKPK saya setuju dengan prof @mohmahfudmd, hak angket tolong dong dikaji lagi. Pemerintah tu sebenarnya apa nih?"
0,@republikaonline Habib rizieq bukan ancaman NKRI. Polisi harus nya GEBUK PKI sesuai perintah JOKOWI. Tolong di seli #TurnBackCrime_ID
1,Tolong POLISI utk menyelidiki para pembuat #Hoax seputar kasus Hermansyah #StopHoaxTerOrganisir cc @DivHumasPolri @Puspen_TNI @jokowi
0,Jangan ragu .... Tolong bilangin Pak @jokowi ya ....? 
1,"@jokowi Malam Pak, kemacetan tol arah bekasi semakin parah, mohon solusinya atas hal ini dengan dinas terkait. Terima kasih"
0,Pak @jokowi tolong cek tab mention bapak ya. Semoga bapak belum tidur.
0,"hukum di daerah yg jauh dr jangkauan kpk, mohon sering2 sadap pejabat pemerintah dan hakim, polisi di tingkat kabupaten! cc @KPK_RI"
0,"Pak @jokowi, sebelum bapak tidur mohon berkenan mengetahui permintaan saya sebagai siswi yaitu #tolakFDS."
0,awas alesan mcm gini ntar diikutin pengguna lainnya. Tolong bantu pemerintah buat perangi narkoba. Anda kan berpengaruh
0,"Mohon di kondisikan pak presiden dan para petinggi NKRI.
@jokowi @fadlizon @ZUL_Hasan @ridwankamil @Gerindrapic.twitter.com/xKgqZHCSRQ"
0,"Dear PLN, blm ada respon dan tindak lanjutnya. Listrik padam sudah hampir 1 jam tanpa solusi. Mohon ditanggapi."
0,Rkyt blm kbal tolong jgn dibacok???
0,Hahaha... dagelaann... dagelaann... tolong bangun pak jokowi... sudah waktunya bangun dari mimpi...
0,"Tolong untuk pemerintah segera usut dan tindak siapa dalang dari bom dan penembakan di sarinah jln thamrin jakarta
#KamiTidakTakut"
0,@jokowi mohon pak seperti ini dibenahi. https://twitter.com/victorkamang/status/687641566467338242 …
0,jika anda nyali para penjihad dan syuhada.. tolong datangkan pemerintah minta dikirim ke palestina bantu warga sipil sana melawan zionis
0,@jokowi Bapak Presiden - Mohon tangkap biangnya pak dan hukum semaksimalnya. Ormas radikal dibubarkan. Jangan kasih ampun.
0,"""@christian_cllt: Mreka bisa mnjadi ancaman serius. Tolong dilacak kbenarannya, pak. Cc @jokowi @HaitiBadrodin https://twitter.com/christian_cllt/status/687695888341282816/photo/1pic.twitter.com/93taBr42Fn """
1,@jokowi tolong beri tegakan hukum seadil adinnya pak di desa cimayang kec.bojong manik kab.lebak prop.banten kasus bulog.cacat hukum lebak
0,"@jokowi .Assalammu'alaikum.-
Mas.Jokowi.kita di uji oleh Allah.SWT dengan kejadian ini. Maka Mohon kita bersabar.Tis.@hasbideskto5"
0,"@jokowi .Assalamualaikum.-
Mas.Jokowi. itu cobaan Allah.SWT kepada RI.maka mohon bersabar.Tks"
0,@jokowi kami relawan JP-kita ikut berbelasungkawa atas korban teror dan pelaku mohon dihukum berat
0,@jokowi mohon baca pak! pic.twitter.com/P70SHZ8Fyx
0,"@Helmy_Faishal_Z @jokowi @saidaqil @MuhaiminIskndr @gusmusgusmu siap kang mas gus. 
Mohon maaf pak sekjen, itu surat belum distempel"
0,"@jokowi pak tolong kepala BIN dikoreksi karena tdk mmpu mendeteksi ancaman teror di jakarta, harus profesional walau teman politik,pecat yos"
0,"Setelah semua ini, ya wong tolong itu fpi2an dan isis2an itu ditebas habis pak @jokowi"
0,"@jokowi Pak Jokowi, hukuman para teroris terlalu ringan!!! Tolong tinjau kembali, dibuat sama saja dng bandar narkoba, hukuman mati."
0,@KPI_Pusat Mohon diTV Berita tentang bom. cukup hari ini saja. besok jgn diputar dimedia lagi krn terlalu berlebihan @jokowi #KamiTidakTakut
0,"@jokowi @basuki_btp dear pa presiden tolong tegakkan HUKUM di negara ini yg ga jelas http://www.repelita.com/hebat-lulusan-sd-rakit-tv-dipenjara-oknum-dpr-ri-nyetok-miras-dikembalikan/ … 
Terima kasih pa"
0,Pak @jokowi kapan saya wisuda pak??terus pak Is tolong diganti dr kaprodi pak.. :)
0,"@jokowi , pak jokowi tolong aku minta tolong sebesar nya panghilah KOPASSUS untuk seranh isis mohon.
#KamiTidakTakut
#PrayForJakarta"
0,@pln_123 dirut pln mending mundur aja lah.. dripada kerja gak pernah beres.. pak @jokowi tolong evaluasi dirut pln..
0,"belum tentu. ""@goldisenna: Hari ini keputusan dinvestasi freeport, dimana beritanya? Apa bomb ini pengalian isu? Halo pak @jokowi mohon pen"
0,Mohon maaf atas kendalanya. Untuk pelaporan kami sarankan Anda untuk menghubungi BNI Call 1500046. Nanti petugas kami akan membantu.
0,"Duh tolong pembisik presiden agar jangan ada arahan jawaban model seperti ini.

Nanti suara jokowi bisa nyungsep loh 

Perpres, Kepres bahkan Inpres itu haknya presiden loh tp dikeluarkan berdasarkan masukan para bawahannya. Bilang j kek udh digodok dg matang. https://twitter.com/peju4ng/status/1002333875555586048 …"
0,"Dengan adanya tanaman plastik di wilayah DKI dengan menghabiskan anggaran 8 milyard dan yang mendapatkan lelang adalah perusahaan kesehatan,  bagaimana menurut 1. @fadlizon 2. @MardaniAliSera 3. @AmienRais 4 yang selalu mengkritik pemerintah syah sekarang ini.  Mohon pemdapatnya. https://twitter.com/Aniessa_Andi/status/1002152749692174337 …"
0,"Yb @SyedSaddiq mintak tolong inform menteri berkenaan untuk settle kan hal @ktm_berhad yg tak buat kerja ni, selalu sangat bermasalah hari hari kot, same problem same reason.. tambang mahal tapi service like rubbish"
1,"Watimpres mungkin masih dibutuhkan. Tapi mohon Bpk kaji ulang ttg BPIP. Demi Pancasila, WNI dibina? Terasa Pancasila begitu lemah. Pancasila ‘harga mati’ tidak ada pilihan lain. WNI yg menolak Pancasila, cabut kewarganegaraannya & usir dari Indonesia. Tidak perlu dibina-binalah."
0,"Untuk ""informasi"" seperti ini, tolong sebutkan nama teman lama anda itu. Kalau tidak namanya lempar batu sembunyi tangan. Ingin mengkrtik tapi tidak mau bertanggungjawab. Pdhk baru dimasa Jokowi pembangunan daerah perbatasan dilakukan besar2an, seperti jalan2 yang mulus dan PLBN https://twitter.com/eliya_mkom/status/1000897432350212097 …"
0,"Dari pengetahuan sya lah, Menteri kewangan bukak satu acc bank utk rakyat bagi sumbangan tolong kerajaan bayar hutang."
0,"Menteri menteri semua kaya raya.. sprm plzzz tolong siasat. Menteri menteri semua mcm raja.. cakap kosong, no action, rakyat sengsara, miskin walaupun hidup di negeri yg kaya... sebab kaya semua di ambil raja raja sarawak( menteri)"
0,Yb menteri @guanenglim tolong consider kami dr iwk yg belum ada berita tentang incentive raya n increment gaji.. kasihani kami
